"participantID","block","randomSeed","letterSeparation","letterEccentricity","itemRate","condition","expDegrees","letterOrder1","target1","response1","responseLetter1","RT1","letterOrder2","target2","response2","responseLetter2","RT2","endTime","resp1otherStream","resp2otherStream","condName","oneQueriedFirst"
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","24,7,11,22,10,9,6,16,4,12,19,8,18,1,20,15,13,21,23,14,2,3,5,17","14",14,"1","2.59025023388676","8,15,3,16,24,22,17,7,12,1,4,6,20,11,23,14,13,18,19,5,9,10,2,21","14",13,"20","4.76507950085215",736186.478331966,10,15,"Downwards",FALSE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","15,2,6,19,7,11,14,20,4,12,22,3,5,16,24,17,18,1,8,10,9,21,23,13","18",18,"1","5.37021818407811","5,21,16,10,13,4,19,11,18,3,2,24,7,14,6,12,15,1,23,9,17,22,8,20","18",19,"23","2.90755816199817",736186.478331966,18,23,"Downwards",TRUE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","19,7,8,24,21,3,16,10,5,23,12,11,18,2,17,6,20,1,14,13,4,22,15,9","11",11,"12","4.78477380005643","16,13,17,9,21,4,12,22,14,3,10,11,8,23,15,1,24,20,7,5,18,2,6,19","11",12,"11","2.33013437408954",736186.478331966,7,12,"Downwards",TRUE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","4,16,7,17,12,5,2,6,13,9,10,8,11,15,18,21,14,19,24,22,1,20,23,3","15",15,"18","2.74043527292088","18,14,6,21,23,12,7,10,8,16,11,5,13,17,4,2,15,3,19,22,9,24,1,20","15",15,"4","6.18046555202454",736186.478331966,1,1,"Downwards",FALSE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","16,8,10,9,1,14,15,18,4,3,2,13,5,11,22,12,23,19,20,24,17,21,7,6","18",18,"19","3.32032868405804","3,21,6,5,23,10,24,11,13,8,12,16,7,22,17,18,15,19,14,20,1,9,2,4","18",20,"20","5.13576738792472",736186.478331966,18,19,"Downwards",FALSE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","5,20,21,17,23,11,12,16,10,2,19,3,18,4,7,15,1,9,13,8,22,6,14,24","14",14,"4","2.3143485118635","2,10,6,12,3,7,23,14,20,11,16,24,21,5,9,17,18,8,22,1,4,15,19,13","14",17,"18","4.41812833095901",736186.478331966,21,13,"Downwards",FALSE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","15,5,24,17,13,20,21,8,4,10,11,16,9,2,12,14,19,7,6,3,18,23,1,22","11",1,"15","2.73673433600925","17,6,4,13,15,18,9,10,12,20,8,19,16,1,24,11,23,21,22,3,5,2,7,14","11",11,"8","7.88164524617605",736186.478331966,5,8,"Downwards",FALSE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","13,20,23,15,4,14,5,17,16,21,18,12,11,19,9,6,8,2,22,10,7,3,24,1","9",9,"16","3.33590652886778","18,24,15,14,10,4,6,5,23,12,11,2,16,8,22,7,9,17,19,21,1,20,3,13","9",10,"12","6.43178239394911",736186.478331966,13,12,"Downwards",FALSE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","16,10,13,9,24,1,12,5,11,3,2,7,15,20,6,18,4,21,17,14,19,23,22,8","13",8,"5","9.75047056400217","19,20,16,21,7,3,1,15,14,10,11,24,8,4,2,6,23,5,22,9,13,12,18,17","13",23,"18","6.64810978807509",736186.478331966,18,16,"Downwards",TRUE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","12,8,17,5,7,13,18,4,23,21,1,6,10,11,22,9,14,24,2,3,20,16,15,19","7",7,"18","7.48355381190777","14,13,24,10,9,1,20,18,12,17,2,8,21,15,19,4,6,16,11,3,5,7,23,22","7",16,"4","4.93793705897406",736186.478331966,8,8,"Downwards",TRUE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","13,11,23,16,21,12,19,4,20,24,22,17,7,6,18,10,8,14,9,15,1,5,3,2","14",4,"16","6.05105295102112","2,19,13,22,24,9,7,23,8,18,4,17,1,10,20,21,11,16,14,12,6,5,15,3","14",15,"20","2.88382280804217",736186.478331966,18,9,"Downwards",TRUE
"AD","1",207605.9193,8.48528137423857,6,8,"2","270,90","10,20,15,18,22,14,8,19,12,13,11,7,17,9,24,4,23,21,6,2,3,5,1,16","16",17,"23","2.97547254199162","18,3,7,19,10,22,8,5,24,1,23,20,11,14,16,15,4,12,2,21,17,13,9,6","16",17,"4","5.25635513709858",736186.478331966,11,16,"Downwards",FALSE
